作家名,年月日,生没
平出 修,3月17日,没
斎藤 三郎,3月17日,没
佐々木 味津三,3月18日,生
井上 円了,3月18日,生
吉野 作造,3月18日,没
藤島 武二,3月19日,生
森田 草平,3月19日,生
鷹野 つぎ,3月19日,没
片山 広子,3月19日,没
大阪 圭吉,3月20日,生
片岡 義男,3月20日,生
押川 春浪,3月21日,生
柳 宗悦,3月21日,生
成島 柳北,3月22日,生
荻原 雲来,3月22日,生
福永 渙,3月22日,生
小村 雪岱,3月22日,生
新美 南吉,3月22日,没
内村 鑑三,3月23日,生
吉田 甲子太郎,3月23日,生
北大路 魯山人,3月23日,生
水上 滝太郎,3月23日,没
梶井 基次郎,3月24日,没
牧野 信一,3月24日,没
矢田部 達郎,3月24日,没
島崎 藤村,3月25日,生
富ノ沢 麟太郎,3月25日,生
朝永 三十郎,3月25日,生
十返 肇,3月25日,生
素木 しづ,3月26日,生
小川 正子,3月26日,生
吉江 喬松,3月26日,没
与謝野 寛,3月26日,没
吉江 孤雁,3月26日,没
室生 犀星,3月26日,没
佐々木 直次郎,3月27日,生
久坂 葉子,3月27日,生
島木 赤彦,3月27日,没
豊田 喜一郎,3月27日,没
島袋 源一郎,3月27日,没
石井 柏亭,3月28日,生
宇田川 文海,3月28日,生
内村 鑑三,3月28日,没
高田 保,3月28日,没
鳥谷部 春汀,3月29日,生
立原 道造,3月29日,没
武田 祐吉,3月29日,没
白鳥 庫吉,3月30日,没
金子 薫園,3月30日,没
武田 麟太郎,3月31日,没
小酒井 不木,4月1日,没
西東 三鬼,4月1日,没
十一谷 義三郎,4月2日,没
高村 光太郎,4月2日,没
白田 秀彰,4月3日,生
平出 修,4月3日,生
北 一輝,4月3日,生
長塚 節,4月3日,生
阪井 久良伎,4月3日,没
二葉亭 四迷,4月4日,生
小中 千昭,4月4日,生
中里 介山,4月4日,生
塚原 渋柿園,4月4日,生
宮川 典子,4月5日,生
三好 達治,4月5日,没
津野 海太郎,4月6日,生
若松 賤子,4月6日,生
久生 十蘭,4月6日,生
鈴木 梅太郎,4月7日,生
hiro,4月7日,生
宮城 道雄,4月7日,生
小川 未明,4月7日,生
尾崎 放哉,4月7日,没
穂積 陳重,4月7日,没
伊東 忠太,4月7日,没
羽仁 もと子,4月7日,没
国枝 史郎,4月8日,没
高浜 虚子,4月8日,没
水野 葉舟,4月9日,生
佐藤 春夫,4月9日,生
中島 孤島,4月9日,没
藪野 椋十,4月9日,没
竹内 浩三,4月9日,没
宮地 嘉六,4月10日,没
穂積 重遠,4月11日,生
中谷 宇吉郎,4月11日,没
佐藤 武夫,4月11日,没
大倉 燁子,4月12日,生
森田 正馬,4月12日,没
藤野 古白,4月12日,没
石川 啄木,4月13日,没
斎藤 緑雨,4月13日,没
田口 卯吉,4月13日,没
佐左木 俊郎,4月14日,生
富田 木歩,4月14日,生
佐野 友三郎,4月15日,生
山川 登美子,4月15日,没
中浜 哲,4月15日,没
川上 眉山,4月16日,生
田村 俊子,4月16日,没
岡崎 雪声,4月16日,没
小杉 放庵,4月16日,没
三田村 鳶魚,4月17日,生
大手 拓次,4月18日,没
平山 蘆江,4月18日,没
長谷川 集平,4月19日,生
松本 泰,4月19日,没
富田 倫生,4月20日,生
前田 夕暮,4月20日,没
下村 湖人,4月20日,没
木村 小舟,4月20日,没
生田 長江,4月21日,生
高木 貞治,4月21日,生
市島 春城,4月21日,没
吉田 絃二郎,4月21日,没
荻原 守衛,4月22日,生
辻村 伊助,4月22日,生
久保 良英,4月22日,生
関根 金次郎,4月23日,生
上村 松園,4月23日,生
三好 十郎,4月23日,生
肝付 兼行,4月23日,生
賀川 豊彦,4月23日,生
近松 秋江,4月23日,没
浜尾 四郎,4月24日,生
田村 俊子,4月25日,生
土田 杏村,4月25日,没
岩波 茂雄,4月25日,没
兼常 清佐,4月25日,没
松永 延造,4月26日,生
飯田 蛇笏,4月26日,生
藤井 貞和,4月27日,生
井原 西鶴,4月27日,生
中里 介山,4月28日,没
山中 峯太郎,4月28日,没
中原 中也,4月29日,生
尾崎 秀実,4月29日,生
小川 正子,4月29日,没
島田 清次郎,4月29日,没
野呂 栄太郎,4月30日,生
永井 荷風,4月30日,没
三宅 幾三郎,5月1日,没
樋口 一葉,5月2日,生
福田 英子,5月2日,没
丘 浅次郎,5月2日,没
池田 菊苗,5月3日,没
柳 宗悦,5月3日,没
中 勘助,5月3日,没
小宮 豊隆,5月3日,没
近松 秋江,5月4日,生
富永 太郎,5月4日,生
佐々木 邦,5月4日,生
高祖 保,5月4日,生
小泉 信三,5月4日,生
中島 敦,5月5日,生
武田 祐吉,5月5日,生
福永 渙,5月5日,没
井上 準之助,5月6日,生
九鬼 周造,5月6日,没
池田 輝方,5月6日,没
久保田 万太郎,5月6日,没
佐藤 春夫,5月6日,没
林田 清明,5月7日,生
河井 酔茗,5月7日,生
木暮 理太郎,5月7日,没
相馬 御風,5月8日,没
武田 麟太郎,5月9日,生
細井 和喜蔵,5月9日,生
岩野 泡鳴,5月9日,没
吉行 エイスケ,5月10日,生
斎藤 三郎,5月10日,生
二葉亭 四迷,5月10日,没
下村 海南,5月11日,生
萩原 朔太郎,5月11日,没
小川 未明,5月11日,没
小泉 信三,5月11日,没
竹内 浩三,5月12日,生
秋田 雨雀,5月12日,没
三遊亭 円朝,5月13日,生
池田 蕉園,5月13日,生
田山 花袋,5月13日,没
佐野 友三郎,5月13日,没
斎藤 茂吉,5月14日,生
三田村 鳶魚,5月14日,没
光田 健輔,5月14日,没
西東 三鬼,5月15日,生
佐藤 惣之助,5月15日,没
相馬 泰三,5月15日,没
溝口 健二,5月16日,生
北村 透谷,5月16日,没
森下 雨村,5月16日,没
平井 肇,5月17日,生
海野 十三,5月17日,没
逸見 猶吉,5月17日,没
佐野 昌一,5月17日,没
南方 熊楠,5月18日,生
中井 正一,5月18日,没
鈴木 志郎康,5月19日,生
薄田 泣菫,5月19日,生
西田 幾多郎,5月19日,生
生田 春月,5月19日,没
桐生 悠々,5月20日,生
中戸川 吉二,5月20日,生
三枝 博音,5月20日,生
牧野 富太郎,5月22日,生
風巻 景次郎,5月22日,生
中 勘助,5月22日,生
石川 三四郎,5月23日,生
桂 小南,5月24日,生
川田 瑞穂,5月24日,生
佐々木 直次郎,5月24日,没
桑原 隲蔵,5月24日,没
辻村 もと子,5月24日,没
平野 万里,5月25日,生
水谷 まさる,5月25日,没
内田 魯庵,5月26日,生
三浦 環,5月26日,没
坪井 正五郎,5月26日,没
綱島 梁川,5月27日,生
沢田 正二郎,5月27日,生
山本 宣治,5月28日,生
堀 辰雄,5月28日,没
野口 雨情,5月29日,生
内藤 鳴雪,5月29日,生
与謝野 晶子,5月29日,没
橋本 多佳子,5月29日,没
杉田 久女,5月30日,生
ヴォルテール,5月30日,没
中山 省三郎,5月30日,没
今井 邦子,5月31日,生
水野 仙子,5月31日,没
槙村 浩,6月1日,生
服部 宇之吉,6月2日,生
藪野 椋十,6月3日,生
恩地 孝四郎,6月3日,生
佐藤 紅緑,6月3日,没
森本 薫,6月4日,生
オー・ヘンリー,6月5日,没
井上 円了,6月6日,没
清沢 満之,6月6日,没
西田 幾多郎,6月7日,没
高群 逸枝,6月7日,没
安倍 能成,6月7日,没
知里 幸恵,6月8日,生
千家 元麿,6月8日,生
有島 武郎,6月9日,没
知里 真志保,6月9日,没
土田 耕平,6月10日,生
大町 桂月,6月10日,没
宮原 晃一郎,6月10日,没
岡本 一平,6月11日,生
豊田 喜一郎,6月11日,生
宮地 嘉六,6月11日,生
長谷川 伸,6月11日,没
田口 卯吉,6月12日,生
岡本 帰一,6月12日,生
太宰 治,6月13日,没
黒木 舜平,6月13日,没
今村 明恒,6月14日,生
平林 初之輔,6月15日,没
川上 眉山,6月15日,没
番匠谷 英一,6月17日,没
佐藤 垢石,6月18日,生
上田 広,6月18日,生
豊島 与志雄,6月18日,没
太宰 治,6月19日,生
矢田 津世子,6月19日,生
黒木 舜平,6月19日,生
今野 大力,6月19日,没
饗庭 篁村,6月20日,没
坪内 逍遥,6月22日,生
福永 信,6月22日,生
南部 修太郎,6月22日,没
岸田 劉生,6月23日,生
清水 紫琴,6月23日,生
国木田 独歩,6月23日,没
愛知 敬一,6月23日,没
青野 季吉,6月23日,没
紫式部,6月25日,生
桑木 厳翼,6月25日,生
竹内 勝太郎,6月25日,没
宮城 道雄,6月25日,没
内藤 湖南,6月26日,没
小泉 八雲,6月27日,生
鈴木 三重吉,6月27日,没
津村 信夫,6月27日,没
郡 虎彦,6月28日,生
林 芙美子,6月28日,没
高楠 順次郎,6月28日,没
高楠 順次郎,6月29日,生
内田 魯庵,6月29日,没
谷 譲次,6月29日,没
林 不忘,6月29日,没
牧 逸馬,6月29日,没
高良 とみ,7月1日,生
佐藤 緑葉,7月1日,生
山本 実彦,7月1日,没
式場 隆三郎,7月2日,生
大阪 圭吉,7月2日,没
恩地 孝四郎,7月2日,没
喜田 貞吉,7月3日,没
巌谷 小波,7月4日,生
中谷 宇吉郎,7月4日,生
佐藤 垢石,7月4日,没
塚原 渋柿園,7月5日,没
佐藤 紅緑,7月6日,生
児玉 花外,7月7日,生
平井 肇,7月7日,没
佐佐木 信綱,7月8日,生
吉行 エイスケ,7月8日,没
森 鴎外,7月9日,没
上田 敏,7月9日,没
森 林太郎,7月9日,没
戸川 秋骨,7月9日,没
橘 外男,7月9日,没
相馬 御風,7月10日,生
賀川 豊彦,7月10日,没
喜田 貞吉,7月11日,生
服部 宇之吉,7月11日,没
河野 広道,7月12日,没
鈴木 大拙,7月12日,没
野口 米次郎,7月13日,没
富沢 赤黄男,7月14日,生
広津 柳浪,7月15日,生
今井 邦子,7月15日,没
黒田 清輝,7月15日,没
川端 茅舎,7月17日,没
小柳 司気太,7月18日,没
三宅 花圃,7月18日,没
大倉 燁子,7月18日,没
山川 登美子,7月19日,生
山之口 貘,7月19日,没
梅崎 春生,7月19日,没
波多野 精一,7月21日,生
菊池 幽芳,7月21日,没
犬田 卯,7月21日,没
幸田 露伴,7月23日,生
楢崎 竜,7月23日,生
